Alabama,7,42,294,44,3.38,994
Arizona,23,46,1058,201,2.04,2158
Arkansas,20,55,1100,176,1.65,1815
California,335,48,16080,3216,1.6,25728
Colorado,32,46,1472,500,2.34,3444
Florida,205,45,9225,830,2.46,22694
Georgia,102,33,3366,370,2.67,8987
Hawaii,16,80,1280,51,1.3,1664
Idaho,92,32,2944,677,1.62,4769
Illinois,11,39,429,116,4.12,1767
,,,,,,
Indiana,9,55,495,188,3.78,1871
Iowa,38,55,2090,1170,2.35,4912
Kansas,7,79,553,171,2.35,1300
Kentucky,6,41,246,44,4.66,1146
Louisiana,54,72,3888,428,2.15,8359
Maine,15,35,525,110,3.28,1722
Michigan,94,50,4700,1363,2.56,12032
Minnesota,118,59,6962,3063,1.83,12740
Mississippi,22,80,1760,141,1.87,3291
Missouri,10,43,430,73,3.35,1441
,,,,,,
Montana,173,86,14878,5802,1.49,22168
Nebraska,39,52,2028,223,1.44,2920
New Jersey,15,28,420,155,4.68,1966
New York,59,58,3422,1027,4,13688
North Carolina,14,42,588,118,4.11,2417
North Dakota,520,65,33800,6422,1.43,48334
Ohio,15,67,1005,442,3.46,3477
Oregon,87,32,2784,1141,2.5,6960
Pennsylvania,19,50,950,409,4.41,4190
South Carolina,16,47,752,45,5.03,3783
,,,,,,
South Dakota,270,72,19440,7582,1.56,30326
Tennessee,8,57,456,91,4.72,2152
Texas,126,60,7560,1663,2.32,17539
Utah,22,29,638,89,1.97,1257
Vermont,6,48,288,84,4.48,1290
Virginia,5,39,195,49,7.19,1402
Washington,81,35,2835,1191,2.18,6180
West Virginia,6,37,222,47,4.26,946
Wisconsin,46,47,2162,692,3,6486
Wyoming,39,56,2184,306,1.43,3123
,,,,,,
Other States 5/ 6/,30,47,1418,351,4.65,6594
,,,,,,
United States 6/ 7/,2812,55.8,156922,40861,1.99,312275
